departamento,año,accidentes
Guatemala,2020,2676
El Progreso,2020,124
Sacatepéquez,2020,202
Chimaltenango,2020,229
Escuintla,2020,440
Santa Rosa,2020,197
Sololá,2020,81
Totonicapán,2020,49
Quetzaltenango,2020,197
Suchitepéquez,2020,201
Retalhuleu,2020,203
San Marcos,2020,147
Huehuetenango,2020,113
Quiché,2020,106
Baja Verapaz,2020,96
Alta Verapaz,2020,296
Petén,2020,206
Izabal,2020,230
Zacapa,2020,141
Chiquimula,2020,130
Jalapa,2020,121
Jutiapa,2020,165
Guatemala,2021,3450
El Progreso,2021,170
Sacatepéquez,2021,270
Chimaltenango,2021,297
Escuintla,2021,615
Santa Rosa,2021,238
Sololá,2021,109
Totonicapán,2021,77
Quetzaltenango,2021,253
Suchitepéquez,2021,229
Retalhuleu,2021,222
San Marcos,2021,182
Huehuetenango,2021,141
Quiché,2021,186
Baja Verapaz,2021,137
Alta Verapaz,2021,380
Petén,2021,266
Izabal,2021,237
Zacapa,2021,154
Chiquimula,2021,166
Jalapa,2021,146
Jutiapa,2021,228
Guatemala,2022,3387
El Progreso,2022,147
Sacatepéquez,2022,325
Chimaltenango,2022,297
Escuintla,2022,695
Santa Rosa,2022,231
Sololá,2022,68
Totonicapán,2022,82
Quetzaltenango,2022,239
Suchitepéquez,2022,215
Retalhuleu,2022,216
San Marcos,2022,138
Huehuetenango,2022,118
Quiché,2022,160
Baja Verapaz,2022,145
Alta Verapaz,2022,355
Petén,2022,226
Izabal,2022,233
Zacapa,2022,146
Chiquimula,2022,135
Jalapa,2022,127
Jutiapa,2022,239
Guatemala,2023,3457
El Progreso,2023,173
Sacatepéquez,2023,325
Chimaltenango,2023,300
Escuintla,2023,930
Santa Rosa,2023,272
Sololá,2023,72
Totonicapán,2023,40
Quetzaltenango,2023,232
Suchitepéquez,2023,187
Retalhuleu,2023,198
San Marcos,2023,178
Huehuetenango,2023,126
Quiché,2023,129
Baja Verapaz,2023,145
Alta Verapaz,2023,356
Petén,2023,256
Izabal,2023,244
Zacapa,2023,142
Chiquimula,2023,112
Jalapa,2023,118
Jutiapa,2023,226
Guatemala,2024,3408
El Progreso,2024,182
Sacatepéquez,2024,366
Chimaltenango,2024,299
Escuintla,2024,1123
Santa Rosa,2024,233
Sololá,2024,73
Totonicapán,2024,49
Quetzaltenango,2024,218
Suchitepéquez,2024,194
Retalhuleu,2024,176
San Marcos,2024,144
Huehuetenango,2024,128
Quiché,2024,153
Baja Verapaz,2024,172
Alta Verapaz,2024,364
Petén,2024,268
Izabal,2024,271
Zacapa,2024,120
Chiquimula,2024,124
Jalapa,2024,108
Jutiapa,2024,228
