hora_de_ocurrencia,dia_semana,accidentes,hora_num
00:00 a 00:59,lunes,84,0
01:00 a 01:59,lunes,31,1
02:00 a 02:59,lunes,28,2
03:00 a 03:59,lunes,24,3
04:00 a 04:59,lunes,10,4
05:00 a 05:59,lunes,37,5
06:00 a 06:59,lunes,33,6
07:00 a 07:59,lunes,53,7
08:00 a 08:59,lunes,33,8
09:00 a 09:59,lunes,44,9
10:00 a 10:59,lunes,44,10
11:00 a 11:59,lunes,30,11
12:00 a 12:59,lunes,47,12
13:00 a 13:59,lunes,44,13
14:00 a 14:59,lunes,41,14
15:00 a 15:59,lunes,52,15
16:00 a 16:59,lunes,47,16
17:00 a 17:59,lunes,58,17
18:00 a 18:59,lunes,63,18
19:00 a 19:59,lunes,88,19
20:00 a 20:59,lunes,81,20
21:00 a 21:59,lunes,76,21
22:00 a 22:59,lunes,35,22
23:00 a 23:59,lunes,58,23
00:00 a 00:59,martes,51,0
01:00 a 01:59,martes,33,1
02:00 a 02:59,martes,20,2
03:00 a 03:59,martes,10,3
04:00 a 04:59,martes,10,4
05:00 a 05:59,martes,12,5
06:00 a 06:59,martes,33,6
07:00 a 07:59,martes,54,7
08:00 a 08:59,martes,29,8
09:00 a 09:59,martes,39,9
10:00 a 10:59,martes,25,10
11:00 a 11:59,martes,38,11
12:00 a 12:59,martes,35,12
13:00 a 13:59,martes,38,13
14:00 a 14:59,martes,44,14
15:00 a 15:59,martes,29,15
16:00 a 16:59,martes,46,16
17:00 a 17:59,martes,53,17
18:00 a 18:59,martes,67,18
19:00 a 19:59,martes,85,19
20:00 a 20:59,martes,69,20
21:00 a 21:59,martes,65,21
22:00 a 22:59,martes,44,22
23:00 a 23:59,martes,41,23
00:00 a 00:59,miercoles,59,0
01:00 a 01:59,miercoles,28,1
02:00 a 02:59,miercoles,20,2
03:00 a 03:59,miercoles,10,3
04:00 a 04:59,miercoles,5,4
05:00 a 05:59,miercoles,19,5
06:00 a 06:59,miercoles,38,6
07:00 a 07:59,miercoles,36,7
08:00 a 08:59,miercoles,32,8
09:00 a 09:59,miercoles,40,9
10:00 a 10:59,miercoles,28,10
11:00 a 11:59,miercoles,35,11
12:00 a 12:59,miercoles,30,12
13:00 a 13:59,miercoles,35,13
14:00 a 14:59,miercoles,43,14
15:00 a 15:59,miercoles,41,15
16:00 a 16:59,miercoles,43,16
17:00 a 17:59,miercoles,43,17
18:00 a 18:59,miercoles,43,18
19:00 a 19:59,miercoles,62,19
20:00 a 20:59,miercoles,70,20
21:00 a 21:59,miercoles,48,21
22:00 a 22:59,miercoles,47,22
23:00 a 23:59,miercoles,55,23
00:00 a 00:59,jueves,59,0
01:00 a 01:59,jueves,27,1
02:00 a 02:59,jueves,11,2
03:00 a 03:59,jueves,15,3
04:00 a 04:59,jueves,13,4
05:00 a 05:59,jueves,27,5
06:00 a 06:59,jueves,32,6
07:00 a 07:59,jueves,29,7
08:00 a 08:59,jueves,35,8
09:00 a 09:59,jueves,37,9
10:00 a 10:59,jueves,37,10
11:00 a 11:59,jueves,43,11
12:00 a 12:59,jueves,26,12
13:00 a 13:59,jueves,40,13
14:00 a 14:59,jueves,47,14
15:00 a 15:59,jueves,35,15
16:00 a 16:59,jueves,50,16
17:00 a 17:59,jueves,53,17
18:00 a 18:59,jueves,64,18
19:00 a 19:59,jueves,67,19
20:00 a 20:59,jueves,70,20
21:00 a 21:59,jueves,66,21
22:00 a 22:59,jueves,56,22
23:00 a 23:59,jueves,42,23
00:00 a 00:59,viernes,70,0
01:00 a 01:59,viernes,30,1
02:00 a 02:59,viernes,28,2
03:00 a 03:59,viernes,34,3
04:00 a 04:59,viernes,19,4
05:00 a 05:59,viernes,24,5
06:00 a 06:59,viernes,29,6
07:00 a 07:59,viernes,31,7
08:00 a 08:59,viernes,44,8
09:00 a 09:59,viernes,38,9
10:00 a 10:59,viernes,33,10
11:00 a 11:59,viernes,35,11
12:00 a 12:59,viernes,44,12
13:00 a 13:59,viernes,53,13
14:00 a 14:59,viernes,67,14
15:00 a 15:59,viernes,42,15
16:00 a 16:59,viernes,45,16
17:00 a 17:59,viernes,61,17
18:00 a 18:59,viernes,75,18
19:00 a 19:59,viernes,65,19
20:00 a 20:59,viernes,71,20
21:00 a 21:59,viernes,93,21
22:00 a 22:59,viernes,77,22
23:00 a 23:59,viernes,73,23
00:00 a 00:59,sabado,108,0
01:00 a 01:59,sabado,72,1
02:00 a 02:59,sabado,60,2
03:00 a 03:59,sabado,26,3
04:00 a 04:59,sabado,29,4
05:00 a 05:59,sabado,47,5
06:00 a 06:59,sabado,37,6
07:00 a 07:59,sabado,53,7
08:00 a 08:59,sabado,25,8
09:00 a 09:59,sabado,33,9
10:00 a 10:59,sabado,34,10
11:00 a 11:59,sabado,43,11
12:00 a 12:59,sabado,49,12
13:00 a 13:59,sabado,46,13
14:00 a 14:59,sabado,52,14
15:00 a 15:59,sabado,64,15
16:00 a 16:59,sabado,62,16
17:00 a 17:59,sabado,94,17
18:00 a 18:59,sabado,103,18
19:00 a 19:59,sabado,132,19
20:00 a 20:59,sabado,112,20
21:00 a 21:59,sabado,127,21
22:00 a 22:59,sabado,110,22
23:00 a 23:59,sabado,97,23
00:00 a 00:59,domingo,129,0
01:00 a 01:59,domingo,90,1
02:00 a 02:59,domingo,66,2
03:00 a 03:59,domingo,48,3
04:00 a 04:59,domingo,37,4
05:00 a 05:59,domingo,49,5
06:00 a 06:59,domingo,52,6
07:00 a 07:59,domingo,37,7
08:00 a 08:59,domingo,27,8
09:00 a 09:59,domingo,34,9
10:00 a 10:59,domingo,39,10
11:00 a 11:59,domingo,56,11
12:00 a 12:59,domingo,47,12
13:00 a 13:59,domingo,53,13
14:00 a 14:59,domingo,54,14
15:00 a 15:59,domingo,70,15
16:00 a 16:59,domingo,62,16
17:00 a 17:59,domingo,96,17
18:00 a 18:59,domingo,87,18
19:00 a 19:59,domingo,120,19
20:00 a 20:59,domingo,127,20
21:00 a 21:59,domingo,93,21
22:00 a 22:59,domingo,65,22
23:00 a 23:59,domingo,63,23
