departamento,año,fallecidos
Guatemala,2020,426
El Progreso,2020,52
Sacatepéquez,2020,45
Chimaltenango,2020,67
Escuintla,2020,156
Santa Rosa,2020,69
Sololá,2020,15
Totonicapán,2020,14
Quetzaltenango,2020,60
Suchitepéquez,2020,43
Retalhuleu,2020,49
San Marcos,2020,40
Huehuetenango,2020,29
Quiché,2020,34
Baja Verapaz,2020,26
Alta Verapaz,2020,73
Petén,2020,85
Izabal,2020,102
Zacapa,2020,49
Chiquimula,2020,31
Jalapa,2020,31
Jutiapa,2020,53
Guatemala,2021,514
El Progreso,2021,67
Sacatepéquez,2021,67
Chimaltenango,2021,99
Escuintla,2021,286
Santa Rosa,2021,82
Sololá,2021,32
Totonicapán,2021,23
Quetzaltenango,2021,60
Suchitepéquez,2021,58
Retalhuleu,2021,56
San Marcos,2021,45
Huehuetenango,2021,57
Quiché,2021,71
Baja Verapaz,2021,30
Alta Verapaz,2021,115
Petén,2021,125
Izabal,2021,129
Zacapa,2021,63
Chiquimula,2021,74
Jalapa,2021,29
Jutiapa,2021,68
Guatemala,2022,541
El Progreso,2022,63
Sacatepéquez,2022,86
Chimaltenango,2022,97
Escuintla,2022,250
Santa Rosa,2022,76
Sololá,2022,26
Totonicapán,2022,26
Quetzaltenango,2022,64
Suchitepéquez,2022,71
Retalhuleu,2022,63
San Marcos,2022,53
Huehuetenango,2022,40
Quiché,2022,75
Baja Verapaz,2022,50
Alta Verapaz,2022,103
Petén,2022,121
Izabal,2022,111
Zacapa,2022,64
Chiquimula,2022,81
Jalapa,2022,29
Jutiapa,2022,86
Guatemala,2023,561
El Progreso,2023,79
Sacatepéquez,2023,82
Chimaltenango,2023,99
Escuintla,2023,288
Santa Rosa,2023,82
Sololá,2023,30
Totonicapán,2023,18
Quetzaltenango,2023,82
Suchitepéquez,2023,64
Retalhuleu,2023,41
San Marcos,2023,45
Huehuetenango,2023,43
Quiché,2023,59
Baja Verapaz,2023,44
Alta Verapaz,2023,104
Petén,2023,162
Izabal,2023,129
Zacapa,2023,75
Chiquimula,2023,47
Jalapa,2023,37
Jutiapa,2023,104
Guatemala,2024,575
El Progreso,2024,62
Sacatepéquez,2024,94
Chimaltenango,2024,134
Escuintla,2024,296
Santa Rosa,2024,96
Sololá,2024,26
Totonicapán,2024,14
Quetzaltenango,2024,71
Suchitepéquez,2024,84
Retalhuleu,2024,55
San Marcos,2024,51
Huehuetenango,2024,44
Quiché,2024,58
Baja Verapaz,2024,47
Alta Verapaz,2024,124
Petén,2024,157
Izabal,2024,136
Zacapa,2024,64
Chiquimula,2024,44
Jalapa,2024,44
Jutiapa,2024,89
